,X,Y,SPECIES.NAME,training,sp1,sp2,sp3,sp4,sp5,prediction
98295,5256500,4565500,b'Betula pubescens',True,-2.75293231010437,0.5387438535690308,1.8515501022338867,0.8324489593505859,-2.4393107891082764,b'Betula pubescens'
2833,4523000,4405500,b'Betula pubescens',True,-2.0480852127075195,0.5172368288040161,1.4209400415420532,0.7740956544876099,-2.16290020942688,b'Betula pubescens'
21366,4439500,4146500,b'Betula pubescens',True,-0.9372281432151794,0.3953954577445984,0.03670555353164673,0.944263219833374,-1.164044976234436,b'Pinus sylvestris'
30302,5285500,4594500,b'Betula pubescens',True,-1.5122082233428955,0.809925377368927,1.288487195968628,0.43440544605255127,-2.457587242126465,b'Betula pubescens'
53466,5214500,4745500,b'Betula pubescens',True,-2.9970548152923584,0.49109116196632385,2.045828342437744,0.9628384113311768,-2.6136085987091064,b'Betula pubescens'
18627,4118500,4032500,b'Betula pubescens',False,-0.05624054744839668,0.2315775752067566,-1.1018503904342651,0.3591841459274292,0.23001909255981445,b'Pinus sylvestris'
2862,4450500,4102500,b'Betula pubescens',True,-0.528403639793396,0.3518288731575012,0.14349140226840973,0.29002445936203003,-0.6865894794464111,b'Picea abies'
38948,5066500,4437500,b'Betula pubescens',True,-3.6255791187286377,0.7987399101257324,2.7770681381225586,1.4575506448745728,-4.104620456695557,b'Betula pubescens'
93309,4355500,4425500,b'Betula pubescens',True,-9.861298561096191,6.846851348876953,8.8174409866333,2.343613386154175,-17.28780746459961,b'Betula pubescens'
56386,4877500,5078500,b'Betula pubescens',True,-2.8464531898498535,0.5623879432678223,1.8543610572814941,0.86307692527771,-2.4587433338165283,b'Betula pubescens'
66998,5079500,4783500,b'Betula pubescens',True,-2.7062292098999023,0.595841646194458,1.8104150295257568,0.7787184715270996,-2.4460182189941406,b'Betula pubescens'
226893,4561500,4852500,b'Betula pubescens',False,-2.9958415031433105,0.5737428069114685,1.972015380859375,0.9259538650512695,-2.596080780029297,b'Betula pubescens'
20801,4557500,4889500,b'Betula pubescens',True,-3.346893072128296,0.5146815776824951,2.687591075897217,1.2007701396942139,-3.803398609161377,b'Betula pubescens'
198832,4510500,4649500,b'Betula pubescens',True,-2.9878323078155518,0.5850703120231628,1.9788379669189453,0.9010546207427979,-2.6094887256622314,b'Betula pubescens'
1426,4267500,4437500,b'Betula pubescens',True,-2.749821901321411,0.5617196559906006,1.7816400527954102,0.8135460019111633,-2.3725578784942627,b'Betula pubescens'
85176,4118500,4347500,b'Betula pubescens',False,-3.0443527698516846,0.6772528290748596,2.0607142448425293,0.9140996932983398,-2.778752565383911,b'Betula pubescens'
14116,4405500,3992500,b'Betula pubescens',False,-0.906332790851593,0.4325723946094513,-0.28602123260498047,1.1035093069076538,-1.1135735511779785,b'Pinus sylvestris'
11737,4962500,4377500,b'Betula pubescens',True,-7.684299468994141,0.8459981679916382,6.100336074829102,3.35483717918396,-8.493978500366211,b'Betula pubescens'
238876,4934500,5102500,b'Betula pubescens',False,-2.9901905059814453,0.5712127685546875,1.9654457569122314,0.9271249175071716,-2.5871775150299072,b'Betula pubescens'
236269,5052500,4668500,b'Betula pubescens',True,-1.8561670780181885,0.4952707886695862,1.2200816869735718,0.5667547583580017,-1.8381435871124268,b'Betula pubescens'
1088,4677500,5177500,b'Betula pubescens',True,-3.63954496383667,0.6616119742393494,2.284931182861328,1.8858195543289185,-3.9393885135650635,b'Betula pubescens'
217959,4714500,4951500,b'Betula pubescens',False,-2.8606419563293457,0.5630064606666565,1.8761746883392334,0.8683724999427795,-2.4811713695526123,b'Betula pubescens'
155590,2848500,2384500,b'Betula pubescens',True,0.5329462885856628,-0.14779159426689148,-1.4779306650161743,-0.4250204563140869,0.8752750158309937,b'Quercus robur'
58055,5242500,4533500,b'Betula pubescens',True,-2.5519230365753174,-0.6361261606216431,3.185553550720215,1.2064208984375,-3.0549299716949463,b'Betula pubescens'
170553,5144500,4713500,b'Betula pubescens',True,-3.136018991470337,0.6045708060264587,2.128833055496216,0.9702130556106567,-2.800689935684204,b'Betula pubescens'
11693,4852500,5020500,b'Betula pubescens',True,-2.657090902328491,0.5298453569412231,1.7497880458831787,0.8120582103729248,-2.3194336891174316,b'Betula pubescens'
